Id_commune;Nom_commune;Code_departement;Code_commune;Id_region
1481;FRIGNICOURT;51;262;44
1500;MAGENTA;51;663;44
1487;MAREUIL-LE-PORT;51;346;44
1493;SAINT BRICE COURCELLES;51;474;44
1477;SAINT-MEMMIE;51;506;44
1478;SAINTE MENEHOULD;51;507;44
1495;SILLERY;51;536;44
1489;TINQUEUX;51;573;44
1480;VITRY LE FRANCOIS;51;649;44
1499;WITRY-LES-REIMS;51;662;44
1488;REIMS;51;454;44
1576;ARRADON;56;3;53
1573;ARZON;56;5;53
1617;BAUD;56;10;53
1602;BELZ;56;13;53
1594;BRECH;56;23;53
1597;CARNAC;56;34;53
1591;CLEGUER;56;40;53
1604;ERDEVEN;56;54;53
1606;ETEL;56;55;53
1580;GAVRES;56;62;53
1586;GESTEL;56;63;53
1579;GUIDEL;56;78;53
1587;HENNEBONT;56;83;53
1584;INZINZAC-LOCHRIST;56;90;53
1592;KERVIGNAC;56;94;53
1603;LA TRINITE SUR MER;56;258;53
1589;LANESTER;56;98;53
1593;LANGUIDIC;56;101;53
1581;LARMOR-PLAGE;56;107;53
1605;LE BONO;56;262;53
1599;LE PALAIS;56;152;53
1616;LIGNOL;56;110;53
1598;LOCMARIA;56;114;53
1583;LOCMIQUELIC;56;118;53
1582;LORIENT;56;121;53
1613;MALESTROIT;56;124;53
1595;PLOEMEL;56;161;53
1588;PLOEMEUR;56;162;53
1577;PLOEREN;56;164;53
1614;PLOERMEL;56;165;53
1612;PLOUHARNEL;56;168;53
1578;PLOUHINEC;56;169;53
1611;PLUNERET;56;176;53
1610;PLUVIGNER;56;177;53
1615;PONTIVY;56;178;53
1585;PORT-LOUIS;56;181;53
1601;QUIBERON;56;186;53
1590;RIANTEC;56;193;53
1574;SAINT-AVE;56;206;53
1609;SAINT-PHILIBERT;56;233;53
1600;SAINT-PIERRE-QUIBERON;56;234;53
1608;SAINTE-ANNE-D'AURAY;56;263;53
1607;SAUZON;56;241;53
1575;VANNES;56;260;53
631;ALBITRECCIA;2A;8;94
635;APPIETTO;2A;17;94
624;ARBELLARA;2A;18;94
630;ARGIUSTA-MORICCIO;2A;21;94
649;BASTELICACCIA;2A;32;94
639;BELVEDERE-CAMPOMORO;2A;35;94
621;BONIFACIO;2A;41;94
636;CALCATOGGIO;2A;48;94
628;CASAGLIONE;2A;70;94
645;CASALABRIVA;2A;71;94
633;CAURO;2A;85;94
651;COGGIA;2A;90;94
644;COTI-CHIAVARI;2A;98;94
653;CUTTOLI-CORTICCHIATO;2A;103;94
652;FRASSETO;2A;119;94
622;GROSSETO-PRUGNA;2A;130;94
623;LECCI;2A;139;94
643;OLMETO;2A;189;94
638;OTA;2A;198;94
634;PALNECA;2A;200;94
650;PIANA;2A;212;94
637;PIANOTTOLI-CALDARELLO;2A;215;94
625;PIETROSELLA;2A;228;94
615;PORTO-VECCHIO;2A;247;94
617;PROPRIANO;2A;249;94
648;QUENZA;2A;254;94
654;SANTA-MARIA-SICHE;2A;312;94
641;SARI-SOLENZARA;2A;269;94
629;SARROLA-CARCOPINO;2A;271;94
619;SARTENE;2A;272;94
632;SERRA-DI-FERRO;2A;276;94
640;SOTTA;2A;288;94
646;TAVERA;2A;324;94
627;VICO;2A;348;94
657;VIGGIANELLO;2A;349;94
620;ZONZA;2A;362;94
616;AJACCIO;2A;4;94
446;BEAUSSAIS-SUR-MER;22;209;53
442;BINIC-ETABLES-SUR-MER;22;55;53
456;BROONS;22;20;53
453;CAULNES;22;32;53
434;CHATELAUDREN-PLOUAGAT;22;206;53
447;DINAN;22;50;53
432;ERQUY;22;54;53
449;FREHEL;22;179;53
457;GUINGAMP;22;70;53
443;HILLION;22;81;53
433;LAMBALLE-ARMOR;22;93;53
451;LANCIEUX;22;94;53
435;LANGUEUX;22;106;53
460;LANNION;22;113;53
454;LANVALLAY;22;118;53
465;LOUDEAC;22;136;53
455;MATIGNON;22;143;53
445;NOYAL;22;160;53
438;PAIMPOL;22;162;53
459;PERROS-GUIREC;22;168;53
452;PLANCOET;22;172;53
439;PLENEUF-VAL-ANDRE;22;186;53
441;PLERIN;22;187;53
464;PLESTIN-LES-GREVES;22;194;53
436;PLOUFRAGAN;22;215;53
437;PLOUHA;22;222;53
458;PLOUMAGOAR;22;225;53
431;SAINT-BRIEUC;22;278;53
448;SAINT-CAST-LE-GUILDO;22;282;53
440;SAINT-QUAY-PORTRIEUX;22;325;53
450;TADEN;22;339;53
463;TREBEURDEN;22;343;53
444;TREGUEUX;22;360;53
461;TREGUIER;22;362;53
462;TREVOU-TREGUIGNEC;22;379;53
536;ANCONE;26;8;84
545;BEAUMONT LES VALENCE;26;37;84
525;BEAUVALLON;26;42;84
519;BOURG LES VALENCE;26;58;84
517;BOURG-DE-PEAGE;26;57;84
520;CHABEUIL;26;64;84
516;CREST;26;108;84
523;DIEULEFIT;26;114;84
521;DONZERE;26;116;84
539;LA ROCHE DE GLUN;26;271;84
531;LIVRON SUR DROME;26;165;84
527;LORIOL SUR DROME;26;166;84
543;MERCUROL-VEAUNES;26;179;84
526;MIRABEL-AUX-BARONNIES;26;182;84
518;MONTBOUCHER-SUR-JABRON;26;191;84
530;MONTELIER;26;197;84
515;MONTELIMAR;26;198;84
546;MONTSEGUR-SUR-LAUZON;26;211;84
514;MORAS-EN-VALLOIRE;26;213;84
540;MOURS-SAINT-EUSEBE;26;218;84
533;NYONS;26;220;84
528;PIERRELATTE;26;235;84
547;PONSAS;26;247;84
542;PONT DE L ISERE;26;250;84
532;PORTES LES VALENCE;26;252;84
512;ROMANS-SUR-ISERE;26;281;84
541;SAINT VALLIER;26;333;84
538;SAINT-AGNAN-EN-VERCORS;26;290;84
535;SAINT-DONAT-SUR-L HERBASSE;26;301;84
537;SAINT-PANTALEON-LES-VIGNES;26;322;84
529;SAINT-PAUL-TROIS-CHATEAUX;26;324;84
522;SAINT-RAMBERT-D ALBON;26;325;84
534;SAUZET;26;338;84
544;TAIN L HERMITAGE;26;347;84
524;TULETTE;26;357;84
513;VALENCE;26;362;84
1854;ANGLET;64;24;75
1851;ARETTE;64;40;75
1860;BASSUSSARRY;64;100;75
1852;BAYONNE;64;102;75
1853;BIARRITZ;64;122;75
1826;BILLERE;64;129;75
1828;BIZANOS;64;132;75
1861;CIBOURE;64;189;75
1842;DENGUIN;64;198;75
1846;EAUX BONNES;64;204;75
1835;GELOS;64;237;75
1862;HASPARREN;64;256;75
1858;HENDAYE;64;260;75
1832;IDRON;64;269;75
1831;JURANCON;64;284;75
1859;LAHONCE;64;304;75
1848;LARUNS;64;320;75
1839;LESCAR;64;335;75
